NamaMenteri,NamaPresiden,Asal
Hatta_Rajasa,Susilo_Bambang_Yudhoyono,"Palembang, Sumatera Selatan"
Jusman_Syafii_Djamal,Susilo_Bambang_Yudhoyono,Aceh
Muhammad_Jusuf_Kalla,Susilo_Bambang_Yudhoyono,"Makassar, Sulawesi Selatan"
Kusmayanto_Kadiman,Susilo_Bambang_Yudhoyono,"Bandung, Jawa Barat"
M._S._Kaban,Susilo_Bambang_Yudhoyono,"Binjai, Sumatera Utara"
Mari_Elka_Pangestu,Susilo_Bambang_Yudhoyono,Jakarta
Mustafa_Abubakar,Susilo_Bambang_Yudhoyono,"Pidie, Aceh"
Rachmat_Witoelar,Susilo_Bambang_Yudhoyono,"Tasikmalaya, Jawa Barat"
Suharna_Surapranata,Susilo_Bambang_Yudhoyono,Jakarta
Suswono,Susilo_Bambang_Yudhoyono,"Tegal, Jawa Tengah"
Tifatul_Sembiring,Susilo_Bambang_Yudhoyono,"Bukittinggi, Sumatera Barat"
Widodo_A._S.,Susilo_Bambang_Yudhoyono,"Boyolali, Jawa Tengah"
Yusril_Ihza_Mahendra,Susilo_Bambang_Yudhoyono,"Belitung Timur, Kepulauan Bangka Belitung"
Sofyan_Djalil,Susilo_Bambang_Yudhoyono,Aceh
Soegiharto,Susilo_Bambang_Yudhoyono,"Medan, Sumatera Utara"
Burhanuddin_Abdullah,Susilo_Bambang_Yudhoyono,"Garut, Jawa Barat"
Saadillah_Mursjid,Susilo_Bambang_Yudhoyono,"Hulu Sungai Tengah, Kalimantan Selatan"
Sudi_Silalahi,Susilo_Bambang_Yudhoyono,"Pemantangsiantar, Sumatera Utara"
Meutia_Hatta,Susilo_Bambang_Yudhoyono,Yogyakarta
Fadel_Muhammad,Susilo_Bambang_Yudhoyono,"Ternate, Maluku"
Andi_Mallarangeng,Susilo_Bambang_Yudhoyono,"Makassar, Sulawesi Selatan"
Erman_Soeparno,Susilo_Bambang_Yudhoyono,Purworejo
Nur_Mahmudi_Ismail,Susilo_Bambang_Yudhoyono,"Kediri, Indonesia"
Djoko_Kirmanto,Susilo_Bambang_Yudhoyono,"Pengging, Jawa Tengah"
Taufiq_Effendi,Susilo_Bambang_Yudhoyono,Barabai
Saifullah_Yusuf,Susilo_Bambang_Yudhoyono,"Pasuruan, Jawa Timur"
Ryaas_Rasyid,Susilo_Bambang_Yudhoyono,"Gowa, Sulawesi Selatan"
Mohammad_Nuh,Susilo_Bambang_Yudhoyono,"Surabaya, Jawa Timur"
Muhammad_Lukman_Edy,Susilo_Bambang_Yudhoyono,"Teluk Pinang, Riau"
Muhammad_Yusuf_Asy'ari,Susilo_Bambang_Yudhoyono,"Magelang, Jawa Tengah"
Moerdiono,Susilo_Bambang_Yudhoyono,"Banyuwangi, Jawa Timur"
E.E._Mangindaan,Susilo_Bambang_Yudhoyono,"Surakarta, Jawa Tengah"
Muhaimin_Iskandar,Susilo_Bambang_Yudhoyono,"Jombang, Jawa Timur"
Suharso_Monoarfa,Susilo_Bambang_Yudhoyono,"Mataram, Nusa Tenggara Barat"
Linda_Amalia_Sari,Susilo_Bambang_Yudhoyono,"Bandung, Jawa Barat"
Gusti_Muhammad_Hatta,Susilo_Bambang_Yudhoyono,"Banjarmasin, Kalimantan Selatan"
Syarief_Hasan,Susilo_Bambang_Yudhoyono,"Palopo, Sulawesi Selatan"
Salim_Segaf_Al-Jufri,Susilo_Bambang_Yudhoyono,"Surakarta, Jawa Tengah"
Helmy_Faishal_Zaini,Susilo_Bambang_Yudhoyono,"Cirebon, Jawa Barat"
Balthasar_Kambuaya,Susilo_Bambang_Yudhoyono,"Maybrat, Papua Barat"
Sharif_Cicip_Sutarjo,Susilo_Bambang_Yudhoyono,Yogyakarta
Nafsiah_Mboi,Susilo_Bambang_Yudhoyono,"Sengkang, Sulawesi Selatan"
Bambang_Susantono,Susilo_Bambang_Yudhoyono,Yogyakarta
Freddy_Numberi,Bacharuddin_Jusuf_Habibie,"Yapen Waropen, Papua"
Theo_L._Sambuaga,Bacharuddin_Jusuf_Habibie,"Manado, Sulawesi Utara"
Akbar_Tanjung,Bacharuddin_Jusuf_Habibie,"Sibolga, Sumatera Utara"
Ginandjar_Kartasasmita,Bacharuddin_Jusuf_Habibie,"Bandung, Jawa Barat"
Harmoko,Bacharuddin_Jusuf_Habibie,"Nganjuk, Jawa Timur"
Haryono_Suyono,Bacharuddin_Jusuf_Habibie,"Pacitan, Jawa Timur"
Tuty_Alawiyah,Bacharuddin_Jusuf_Habibie,Jakarta
Tanri_Abeng,Bacharuddin_Jusuf_Habibie,"Selayar, Sulawesi Selatan"
Abdul_Malik_Fadjar,Bacharuddin_Jusuf_Habibie,Yogyakarta
Feisal_Tanjung,Bacharuddin_Jusuf_Habibie,"Tapanuli Utara, Sumatera Utara"
Hartarto_Sastrosoenarto,Bacharuddin_Jusuf_Habibie,"Solo, Jawa Tengah"
Panangian_Siregar,Bacharuddin_Jusuf_Habibie,Tanjung Pinang
Muslimin_Nasution,Bacharuddin_Jusuf_Habibie,"Surabaya, Jawa Timur"
Marzuki_Usman,Bacharuddin_Jusuf_Habibie,"Batanghari, Jambi"
Faried_Anfasa_Moeloek,Bacharuddin_Jusuf_Habibie,Lampung
Adi_Sasono,Bacharuddin_Jusuf_Habibie,"Pekalongan, Jawa Tengah"
Rahardi_Ramelan,Bacharuddin_Jusuf_Habibie,"Sukabumi, Jawa Barat"
Kuntoro_Mangkusubroto,Bacharuddin_Jusuf_Habibie,"Purwokerto, Jawa Tengah"
Muhammad_Zuhal,Bacharuddin_Jusuf_Habibie,"Cirebon, Jawa Barat"
Akbar_Tanjung,Abdurrahman_Wahid,"Sibolga, Sumatera Utara"
Hamzah_Haz,Abdurrahman_Wahid,"Ketapang, Kalimantan Barat"
I_Gede_Ardhika,Abdurrahman_Wahid,"Singaraja, Bali"
Muhammad_Jusuf_Kalla,Abdurrahman_Wahid,"Makassar, Sulawesi Selatan"
Kwik_Kian_Gie,Abdurrahman_Wahid,"Pati, Jawa Tengah"
Burhanuddin_Abdullah,Abdurrahman_Wahid,"Garut, Jawa Barat"
Laksamana_Sukardi,Abdurrahman_Wahid,Jakarta
Muhammad_A.S._Hikam,Abdurrahman_Wahid,"Tuban, Jawa Timur"
Alexander_Sonny_Keraf,Abdurrahman_Wahid,"Lembata, Flores Timur"
Sarwono_Kusumaatmadja,Abdurrahman_Wahid,Jakarta
Erna_Witoelar,Abdurrahman_Wahid,"Danau Tempe, Sulawesi Selatan"
Basri_Hasanuddin,Abdurrahman_Wahid,"Polman, Sulawesi Barat"
Hidayat_Jaelani,Abdurrahman_Wahid,"Padalarang, Jawa Barat"
Marzuki_Usman,Abdurrahman_Wahid,"Batanghari, Jambi"
W.J._Rumambi,Soekarno,"Minahasa, Sulawesi Utara"
Ukar_Bratakusumah,Soekarno,"Bandung, Jawa Barat"
